City,Car_Name,Price,KMS,Fuel,Transmission,Location,Emi
Bangalore,2016 Hyundai i10Sportz 1.1 iRDE2,4.10 Lakh,34K km,petrol,manual,"Vega Mall, BTM 2nd Stage","EMI ₹6,982/m*"
Bangalore,2021 Ford EcoSportTitanium 1.5L Ti-VCT,8.84 Lakh₹8.95 Lakh,51.5K km,petrol,manual,Yelahanka,"EMI ₹15,241/m*"
Bangalore,2019 Hyundai Creta1.6 SX,11.33 Lakh,87.5K km,diesel,manual,Yelahanka,"EMI ₹19,485/m*"
Bangalore,2016 Volkswagen AmeoComfortline 1.2L (P),3.86 Lakh,58K km,petrol,manual,"Mantri Mall, Malleshwaram","EMI ₹6,162/m*"
Bangalore,2017 Honda JazzS Petrol,4.45 Lakh,59K km,petrol,manual,"Nexus Mall, Whitefield Road","EMI ₹7,104/m*"
Bangalore,2020 Mini CooperD 5 Door,26.50 Lakh,33K km,diesel,automatic,Bellandur,"EMI ₹45,576/m*"
Bangalore,2014 Volkswagen VentoTSI,4.30 Lakh,125K km,petrol,automatic,"Nexus Mall, Whitefield Road","EMI ₹8,651/m*"
Bangalore,2022 Kia SeltosHTK Plus 1.5 Diesel,11.75 Lakh₹11.89 Lakh,55K km,diesel,manual,Yelahanka,"EMI ₹20,448/m*"
Bangalore,2021 Honda CityZX CVT Petrol,11.20 Lakh₹11.33 Lakh,89.5K km,petrol,automatic,"Vega Mall, BTM 2nd Stage","EMI ₹19,485/m*"
Bangalore,2019 Toyota Etios LivaVX Dual Tone,6.42 Lakh,38K km,petrol,manual,"Vega Mall, BTM 2nd Stage","EMI ₹10,249/m*"
Bangalore,2019 Renault KwidRXT Opt,3.60 Lakh,44K km,petrol,manual,"Nexus Mall, Whitefield Road","EMI ₹6,130/m*"
Bangalore,2017 Jaguar XF2.0L Diesel Prestige,24 Lakh,42K km,diesel,automatic,Yelahanka,"EMI ₹41,276/m*"
Bangalore,2011 Maruti SwiftZXi 1.2 BS-IV,3.39 Lakh,34.5K km,petrol,manual,"Mantri Mall, Malleshwaram","EMI ₹24,222/m*"
Bangalore,2022 Jeep CompassModel S (O) Diesel 4x4 AT,22.50 Lakh₹23.50 Lakh,42.5K km,diesel,automatic,Yelahanka,"EMI ₹40,416/m*"
Bangalore,2021 Renault KwidRXT 1.0 AMT (O),4.57 Lakh₹4.66 Lakh,45K km,petrol,automatic,"Nexus Mall, Whitefield Road","EMI ₹7,935/m*"
Bangalore,2024 Tata NexonFearless Plus 1.2 Petrol 7DCA Dual Tone,13.23 Lakh₹13.63 Lakh,10K km,petrol,automatic,Yelahanka,"EMI ₹23,441/m*"
Bangalore,2023 Kia SonetHTX 1.0 DCT,11.77 Lakh₹12.09 Lakh,9K km,petrol,automatic,Yelahanka,"EMI ₹20,792/m*"
Bangalore,2017 Hyundai Elite i20Magna 1.2,5.82 Lakh,17.5K km,petrol,manual,"Vega Mall, BTM 2nd Stage","EMI ₹9,911/m*"
Bangalore,2019 Hyundai i20 Active1.2 S,6.93 Lakh,27K km,petrol,manual,"Vega Mall, BTM 2nd Stage","EMI ₹11,801/m*"
Bangalore,2019 Ford EcoSportTitanium 1.5L Ti-VCT,6.68 Lakh,79K km,petrol,manual,"Vega Mall, BTM 2nd Stage","EMI ₹11,375/m*"
Bangalore,2014 Hyundai Eon1.0 Kappa Magna +,2.82 Lakh,110K km,petrol,manual,"Nexus Mall, Whitefield Road","EMI ₹5,674/m*"
Bangalore,2022 Maruti BalenoZeta,7.67 Lakh₹7.89 Lakh,25K km,petrol,manual,"Vega Mall, BTM 2nd Stage","EMI ₹13,436/m*"
Bangalore,2023 Jeep CompassLimited (O) 1.4 Petrol DCT,21.47 Lakh₹22 Lakh,38.5K km,petrol,automatic,Yelahanka,"EMI ₹37,836/m*"
Bangalore,2017 Hyundai XcentSX (O),5.70 Lakh,39K km,petrol,manual,"VR Mall, Whitefield Road","EMI ₹9,100/m*"
Bangalore,2018 Maruti CelerioZXi AMT,4.42 Lakh,74.5K km,petrol,automatic,"VR Mall, Whitefield Road","EMI ₹7,527/m*"
Bangalore,2014 Hyundai VernaFluidic 1.6 VTVT SX,4.99 Lakh,54K km,petrol,manual,"VR Mall, Whitefield Road","EMI ₹10,709/m*"
Bangalore,2022 Tata PunchCreative AMT,7.19 Lakh₹7.33 Lakh,41.5K km,petrol,automatic,"Nexus Mall, Whitefield Road","EMI ₹12,482/m*"
Bangalore,2019 Hyundai New Santro 1.1Sportz AMT,4.97 Lakh,40K km,petrol,automatic,"Nexus Mall, Whitefield Road","EMI ₹7,934/m*"
Bangalore,2019 Datsun Redi-GOT (O),2.43 Lakh,54K km,petrol,manual,"Vega Mall, BTM 2nd Stage","EMI ₹9,242/m*"
Bangalore,2014 Hyundai XcentS 1.2 (O),3.88 Lakh,80.5K km,petrol,manual,"Mantri Mall, Malleshwaram","EMI ₹7,806/m*"
Bangalore,2012 Ford FigoDuratec Petrol ZXI 1.2,2.69 Lakh,69K km,petrol,manual,"Vega Mall, BTM 2nd Stage",
Bangalore,2012 Maruti Alto K10VXi,2.47 Lakh,29.5K km,petrol,manual,"Mantri Mall, Malleshwaram","EMI ₹9,394/m*"
Bangalore,2022 Mahindra Scorpio NZ8 L Diesel MT 2WD 7 STR,17.59 Lakh₹17.85 Lakh,52.5K km,diesel,manual,Bellandur,"EMI ₹30,698/m*"
Bangalore,2023 Maruti Wagon RZXI Plus 1.2 AGS,6.94 Lakh₹7.16 Lakh,8.5K km,petrol,automatic,"VR Mall, Whitefield Road","EMI ₹12,796/m*"
Bangalore,2017 Maruti CelerioVXI (O) AMT,3.83 Lakh,30K km,petrol,automatic,"Nexus Mall, Whitefield Road","EMI ₹6,522/m*"
Bangalore,2019 Renault KwidCLIMBER 1.0 AMT,4.43 Lakh,30K km,petrol,automatic,"Mantri Mall, Malleshwaram","EMI ₹7,544/m*"
Bangalore,2019 Kia SeltosGTX Plus AT 1.4,12.73 Lakh,60K km,petrol,automatic,Yelahanka,"EMI ₹21,892/m*"
Bangalore,2014 Volkswagen PoloComfortline 1.2L (P),4.27 Lakh,99.5K km,petrol,manual,"VR Mall, Whitefield Road","EMI ₹8,591/m*"
Bangalore,2015 Honda CityV,4.90 Lakh,114.5K km,petrol,manual,"Vega Mall, BTM 2nd Stage","EMI ₹8,919/m*"
Bangalore,2019 Volvo XC40D4 R-Design,26.50 Lakh,61.5K km,diesel,automatic,Bellandur,"EMI ₹45,576/m*"
Bangalore,2017 Maruti DzireVXi AMT,5.14 Lakh,98.5K km,petrol,automatic,"VR Mall, Whitefield Road","EMI ₹8,753/m*"
Bangalore,2015 Maruti CelerioVXi,3.23 Lakh,142K km,petrol,manual,"VR Mall, Whitefield Road","EMI ₹5,879/m*"
Bangalore,2014 Maruti Wagon RVXI,3.21 Lakh,35K km,petrol,manual,"Vega Mall, BTM 2nd Stage","EMI ₹7,146/m*"
Bangalore,2023 Renault KigerRXT (O) MT,6.43 Lakh₹6.60 Lakh,45K km,petrol,manual,"VR Mall, Whitefield Road","EMI ₹11,239/m*"
Bangalore,2018 Hyundai Grand i10Sportz AT 1.2 Kappa VTVT,5.96 Lakh,24K km,petrol,automatic,"Nexus Mall, Whitefield Road","EMI ₹10,149/m*"
Bangalore,2021 Jeep Compass80 Anniversary 1.4 Petrol DCT,19.02 Lakh₹19.75 Lakh,31K km,petrol,automatic,Bellandur,"EMI ₹33,967/m*"
Bangalore,2016 Mahindra KUV100K8 5 STR,3.25 Lakh,79K km,petrol,manual,"VR Mall, Whitefield Road","EMI ₹5,534/m*"
Bangalore,2017 Tata TiagoRevotron XM,4.35 Lakh,22K km,petrol,manual,"Nexus Mall, Whitefield Road","EMI ₹7,407/m*"
Bangalore,2018 Ford EcoSportTitanium + 1.5L Ti-VCT AT,7.08 Lakh,45.5K km,petrol,automatic,"VR Mall, Whitefield Road","EMI ₹12,056/m*"
Bangalore,2022 Maruti XL6Alpha Plus AT Petrol,12.69 Lakh₹12.86 Lakh,32K km,petrol,automatic,"Vega Mall, BTM 2nd Stage","EMI ₹22,117/m*"
Bangalore,2016 Honda CityVX CVT,6.43 Lakh,61.5K km,petrol,automatic,"Vega Mall, BTM 2nd Stage","EMI ₹10,949/m*"
Bangalore,2013 Hyundai Grand i10Asta 1.2 Kappa VTVT (O),4.02 Lakh,24.5K km,petrol,manual,"Nexus Mall, Whitefield Road","EMI ₹10,835/m*"
Bangalore,2024 Hyundai ExterSX (O) 1.2 MT,8.67 Lakh₹8.94 Lakh,15.5K km,petrol,manual,Yelahanka,"EMI ₹15,224/m*"
Bangalore,2020 Renault Kwid1.0 RXT AMT Opt,4.51 Lakh₹4.58 Lakh,11.5K km,petrol,automatic,Yelahanka,"EMI ₹7,799/m*"
Bangalore,2021 Tata NexonXZ Plus Dual Tone roof S,8.80 Lakh₹9.06 Lakh,46.5K km,petrol,manual,Yelahanka,"EMI ₹15,428/m*"
Bangalore,2022 Volkswagen VirtusTopline 1.0 TSI MT,12.66 Lakh₹12.80 Lakh,27.5K km,petrol,manual,Yelahanka,"EMI ₹22,013/m*"
Bangalore,2022 Mahindra XUV 300W8 1.2 Petrol,10.16 Lakh₹10.36 Lakh,14K km,petrol,manual,Yelahanka,"EMI ₹17,817/m*"
Bangalore,2011 Skoda FabiaElegance 1.2 MPI,2.68 Lakh,94K km,petrol,manual,"Mantri Mall, Malleshwaram","EMI ₹17,952/m*"
